香港,#genre#
纬来综合,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=wlzh
亚洲美食,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=afc
中视,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=zs
中天亚洲,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ztyz
中天娱乐,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ztyl
中天综合,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ztzh


央视,#genre#
CCTV4K,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=6834
CCTV1,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv1
CCTV1,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv1hd
CCTV1,http://nn.7x9d.cn/xz/xz_38911cd547/bst.php?id=cctv1
CCTV1,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=304&n=cctv1hd_2000
CCTV2,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv2
CCTV2,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv2hd
CCTV2,http://nn.7x9d.cn/xz/xz_38911cd547/bst.php?id=cctv2
CCTV2,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=38&n=cctv2hd_2000
CCTV3,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv3
CCTV3,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv3hd
CCTV3,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=5118
CCTV3,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=306&n=cctv3hd_2000
CCTV4,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv4
CCTV4,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv4hd
CCTV4,http://nn.7x9d.cn/xz/xz_38911cd547/bst.php?id=cctv4
CCTV4,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=34&n=cctv4hd_2000
CCTV5,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=5139
CCTV5,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=308&n=cctv5hd_2000
CCTV5+,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=5132
CCTV5+,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=314&n=cctv5plushd_2000
CCTV6,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv6
CCTV6,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv6hd
CCTV6,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=5146
CCTV6,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=310&n=cctv6hd_2000
CCTV7,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv7
CCTV7,http://nn.7x9d.cn/xz/xz_38911cd547/bst.php?id=cctv7
CCTV7,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=536&n=cctv7hd_2000
CCTV8,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv8
CCTV8,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv8hd
CCTV8,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=312&n=cctv8hd_2000
CCTV9,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv9
CCTV9,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/kds2.php?e=cctv9hd
CCTV9,http://kxz.kaniptv.cn/xz/xz_5527ff75d1/湖南广电.php?id=5167
CCTV9,http://nn.7x9d.cn/xz/xz_38911cd547/bst.php?id=cctv9
CCTV9,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=82&n=cctv9hd_2000
CCTV10,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=cctv10
